# timestamp tx ty tz qx qy qz qw
1.678810590036586761e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 -3.421950312976583253e-01 -9.380181952997872497e-01 0.000000000000000000e+00 5.499478013161520490e-02
1.678810590090125561e+09 1.017044764012098312e-03 1.211134716868400574e-03 -1.248363405466079712e-04 -3.419898221488296697e-01 -9.381390778183302803e-01 -1.037169760526782938e-03 5.419369424271227448e-02
1.678810590136746168e+09 7.298766169697046280e-03 3.147271927446126938e-03 -1.049786806106567383e-03 -3.415836821387764344e-01 -9.382714166355266006e-01 -1.379111248028098849e-03 5.445580660905404574e-02
1.678810590187190771e+09 1.893419399857521057e-02 6.939379498362541199e-03 -2.560924738645553589e-03 -3.414721527130064604e-01 -9.382643208499810150e-01 -2.721008234810905549e-04 5.528796526018094765e-02
1.678810590236470222e+09 3.072963841259479523e-02 9.701258502900600433e-03 -2.785867312923073769e-03 -3.412952906071095027e-01 -9.383446263337749116e-01 2.957249427960848302e-04 5.501635562898665038e-02
1.678810590292704344e+09 4.671046137809753418e-02 8.361087180674076080e-03 -3.080162452533841133e-03 -3.422776009493682658e-01 -9.379927692383909221e-01 1.217593107963391559e-04 5.491442360172884424e-02
1.678810590335716724e+09 6.051223725080490112e-02 5.389632191509008408e-03 -3.181170672178268433e-03 -3.439428959291277454e-01 -9.373710356254610909e-01 -2.327670274168808207e-04 5.512505537273412054e-02
1.678810590388461351e+09 6.770430505275726318e-02 7.118144631385803223e-02 7.453758269548416138e-03 -3.452457517273284093e-01 -9.376878605656757681e-01 3.880329128515015713e-02 6.414954983301507548e-03
1.678810590435775995e+09 8.426584303379058838e-02 8.809901773929595947e-02 4.783027339726686478e-03 -3.450468068621862505e-01 -9.370801139377898936e-01 5.088511313847491474e-02 1.530576353641161132e-02
1.678810590489244223e+09 8.076021075248718262e-02 8.901102095842361450e-02 4.309397190809249878e-03 -3.447605054883300935e-01 -9.378088066135719103e-01 3.872141593701076967e-02 1.246948440362440416e-02
1.678810590536928654e+09 8.552785962820053101e-02 9.413845837116241455e-02 2.957327757030725479e-03 -3.451296113678303801e-01 -9.378825273687433350e-01 3.401218083273753467e-02 1.025123253612922336e-02
1.678810590587266922e+09 7.569316774606704712e-02 8.350143581628799438e-02 2.539926208555698395e-05 -3.456048211940451753e-01 -9.379501511463619323e-01 2.644500388413639075e-02 1.036741537302575573e-02
1.678810590635876894e+09 6.584130972623825073e-02 8.082590997219085693e-02 -1.820186269469559193e-03 -3.452003392511474034e-01 -9.381801523008803656e-01 2.525953239184986279e-02 4.084560311079382840e-03
1.678810590688109398e+09 5.841594934463500977e-02 7.047825306653976440e-02 -2.273543272167444229e-03 -3.451604075466921939e-01 -9.383410344847045170e-01 1.927744128813116062e-02 2.962485739804692712e-03
1.678810590736728907e+09 3.897732496261596680e-02 6.147586926817893982e-02 4.389224573969841003e-03 -3.394558942844432825e-01 -9.405938157155101509e-01 6.141728105871703709e-03 -3.904977485144233828e-03
1.678810590786712170e+09 3.529869765043258667e-02 5.582837760448455811e-02 6.806537508964538574e-03 -3.385445891040408939e-01 -9.409386013707761176e-01 -9.817837912295601308e-04 -4.598449670359867555e-03
1.678810590836661577e+09 4.160769656300544739e-02 7.253770530223846436e-02 3.715858329087495804e-03 -3.368396967437435330e-01 -9.415387260749178422e-01 -1.423869069501018409e-04 -6.620100057570605691e-03
1.678810590891882658e+09 4.432516172528266907e-02 6.943250447511672974e-02 3.000358585268259048e-03 -3.361651248422445892e-01 -9.417670816822910629e-01 -5.851510354330358328e-03 -5.790727587455688115e-03
1.678810590936833382e+09 4.516319558024406433e-02 7.687115669250488281e-02 4.389602108858525753e-04 -3.302680176331519446e-01 -9.438637869170636296e-01 -3.116696766873872093e-03 -5.871496956583388376e-03
1.678810590987746477e+09 5.185383185744285583e-02 8.484518527984619141e-02 -4.863679409027099609e-03 -3.272733660872777506e-01 -9.449195782469862470e-01 2.038970339685523391e-03 -3.870025244640479777e-03
1.678810591036113262e+09 5.753606557846069336e-02 9.408321976661682129e-02 -7.317803800106048584e-03 -3.267371438292825947e-01 -9.451022118759213608e-01 9.222542256764528499e-04 -4.878257544131094775e-03
1.678810591093314886e+09 6.666018813848495483e-02 1.173808127641677856e-01 -8.953544311225414276e-03 -3.244914919069361581e-01 -9.458546377678005435e-01 -2.390313361984603129e-03 -7.652600550489521009e-03
1.678810591137251616e+09 7.523357868194580078e-02 1.231491044163703918e-01 -1.206869445741176605e-02 -3.229638405248509425e-01 -9.463763752595761858e-01 4.143924621806259478e-03 -6.995852536558714446e-03
1.678810591189463139e+09 7.641278952360153198e-02 1.288511157035827637e-01 -1.477473787963390350e-02 -3.207443508032701840e-01 -9.471130534532973266e-01 6.505002901856116876e-03 -7.590147785603728117e-03
1.678810591236037731e+09 7.682660222053527832e-02 1.191648468375205994e-01 -1.686315797269344330e-02 -3.195216744783813678e-01 -9.474781131971814485e-01 1.347131380251814607e-02 -3.106164077178703332e-03
1.678810591288322210e+09 7.852610945701599121e-02 1.233414411544799805e-01 -1.898924447596073151e-02 -3.192640725704322668e-01 -9.475989595554875633e-01 1.015014909803241099e-02 -4.861922293400712872e-03
1.678810591336622477e+09 8.789809793233871460e-02 1.340234726667404175e-01 -2.505464293062686920e-02 -3.207567652170960626e-01 -9.470925106167366048e-01 1.081756408616978485e-02 -3.722124177544806813e-03
1.678810591387727499e+09 9.566594660282135010e-02 1.423055380582809448e-01 -3.220125660300254822e-02 -3.215493219421928228e-01 -9.467962855447336068e-01 1.339223031925098305e-02 -1.864243623437281203e-03
1.678810591436447620e+09 1.114032417535781860e-01 1.582163870334625244e-01 -4.053289815783500671e-02 -3.261389836489153593e-01 -9.452088509331826316e-01 1.441778436268751490e-02 -2.391433899608593448e-03
1.678810591491254330e+09 1.188052520155906677e-01 1.582596004009246826e-01 -4.876730218529701233e-02 -3.289242505634236147e-01 -9.442780099430768681e-01 1.214776494479834039e-02 -5.560000706219857605e-04
1.678810591536884308e+09 1.237289085984230042e-01 1.642596721649169922e-01 -5.584676563739776611e-02 -3.295863973188270513e-01 -9.440665292166600109e-01 1.053961305131492950e-02 -3.341735088138987836e-04
